Word,freqfilms2,freqlivres,cgram
découpure,0.01,0.34,NOM
découragé,0.35,3.04,ADJ
décourageant,0.19,0.74,ADJ
découragement,0.27,6.28,NOM
décourager,1.90,5.61,VER
décours,0.00,0.14,NOM
décousu,0.20,0.54,ADJ
découvert,1.76,4.59,ADJ
découvert,2.69,4.86,NOM
découverte,3.30,4.46,VER
découverte,9.25,23.18,NOM
découvreur,0.20,0.47,NOM
découvrir,37.11,50.88,VER
décramponner,0.00,0.07,VER
décrassage,0.04,0.20,NOM
décrasser,0.10,0.61,VER
décrédibiliser,0.01,0.00,VER
décrêpage,0.00,0.07,NOM
décrêper,0.01,0.14,VER
décrépit,0.42,0.07,ADJ
décrépitude,0.12,1.62,NOM
decrescendo,0.00,0.07,ADV
decrescendo,0.10,0.14,NOM
décret,3.54,6.42,NOM
décréter,0.18,0.47,VER
décrié,0.00,0.14,ADJ
décrier,0.03,0.20,VER
décriminaliser,0.01,0.00,VER
décrire,11.01,13.51,VER
décrisper,0.02,0.27,VER
décrit,1.26,0.95,ADJ
décrochage,0.25,0.47,NOM
décrochant,0.00,0.07,ADJ
décrochement,0.00,0.34,NOM
décrocher,6.02,7.91,VER
décroiser,0.02,0.07,VER
décroissance,0.01,0.00,NOM
décroissant,0.01,0.61,ADJ
décroît,0.00,0.07,NOM
décroître,0.05,2.23,VER
décrotter,0.01,0.20,VER
décrottoir,0.00,0.14,NOM
décrue,0.02,0.14,NOM
décryptage,0.20,0.14,NOM
décrypter,0.46,0.34,VER
décrypteur,0.10,0.00,NOM
déculotté,0.00,0.07,ADJ
déculottée,0.12,0.00,NOM
déculotter,0.05,0.81,VER
déculpabiliser,0.11,0.00,VER
décuple,0.02,0.07,ADJ
décuplé,0.02,0.14,ADJ
décupler,0.07,0.41,VER
décuver,0.04,0.00,VER
dédaigner,0.41,1.49,VER
dédaigneuse,0.00,0.07,NOM
dédaigneusement,0.01,1.15,ADV
dédaigneux,0.26,3.85,ADJ
dédain,0.65,9.39,NOM
dédale,0.27,5.27,NOM
dedans,3.73,8.45,NOM
dedans,76.55,39.46,ADV
dédicace,1.72,1.76,NOM
dédicacé,0.12,0.14,ADJ
dédicacer,0.69,0.41,VER
dédicatoire,0.00,0.34,ADJ
dédié,0.27,0.20,ADJ
dédier,1.67,1.08,VER
dédire,0.01,0.27,VER
dédit,0.04,0.41,NOM
dédommagement,1.10,0.54,NOM
dédommager,1.45,0.47,VER
dédouanement,0.14,0.00,NOM
dédouaner,0.03,0.34,VER
dédoublement,0.46,1.01,NOM
dédoubler,0.12,0.68,VER
dédramatiser,0.03,0.20,VER
déducteur,0.00,0.14,NOM
déductibilité,0.07,0.00,NOM
déductible,0.40,0.00,ADJ
déductif,0.14,0.00,ADJ
déduction,1.55,1.08,NOM
déduire,2.00,2.36,VER
déduit,0.21,0.27,NOM
déesse,11.82,6.42,NOM
défaillance,2.06,5.47,NOM
défaillant,0.36,0.81,ADJ
défaillir,0.58,2.91,VER
défaire,5.26,10.14,VER
défait,0.75,4.19,ADJ
défaite,7.64,19.46,NOM
défaitisme,0.56,0.68,NOM
défaitiste,0.16,0.14,NOM
défaitiste,0.57,0.14,ADJ
défalquer,0.01,0.07,VER
défarguer,0.00,0.20,VER
défausser,0.01,0.07,VER
défaut,11.24,27.70,NOM
défaveur,0.18,0.41,NOM
défavorable,0.56,1.76,ADJ
défavorablement,0.00,0.20,ADV
défavorisé,0.02,0.00,NOM
défavorisé,0.07,0.14,ADJ
défécation,0.01,0.61,NOM
défécatoire,0.00,0.41,ADJ
défectif,0.01,0.00,ADJ
défection,0.42,1.15,NOM
défectueusement,0.00,0.07,ADV
défectueux,1.74,0.74,ADJ
défectuosité,0.01,0.14,NOM
déféminiser,0.01,0.00,VER
défendable,0.20,0.20,ADJ
défendeur,0.43,0.00,NOM
défendre,36.58,41.49,VER
défends,0.20,0.00,NOM
défendu,1.02,2.64,ADJ
défenestration,0.09,0.07,NOM
défenestrer,0.17,0.00,VER
défens,0.01,0.00,NOM
défense,48.56,47.77,NOM
défenseur,2.59,3.38,NOM
défensif,0.71,0.74,ADJ
défensive,0.98,1.89,NOM
déféquer,0.48,0.27,VER
déférence,0.08,4.26,NOM
déférent,0.00,1.42,ADJ
déférer,0.05,0.07,VER
déferlant,0.00,0.07,ADJ
déferlante,0.23,0.20,NOM
déferlement,0.33,4.53,NOM
déferler,0.08,1.76,VER
déferré,0.00,0.07,ADJ
déferrer,0.10,0.00,VER
défiance,0.58,1.96,NOM
défiant,0.43,0.27,ADJ
défibreur,0.01,0.00,NOM
défibrillateur,0.57,0.00,NOM
défibrillation,0.14,0.00,NOM
déficeler,0.01,0.14,VER
déficience,0.56,0.47,NOM
déficient,0.05,0.00,NOM
déficient,0.21,0.27,ADJ
déficit,1.91,0.95,NOM
déficitaire,0.06,0.07,ADJ
défier,3.92,4.39,VER
défiger,0.07,0.00,VER
défiguration,0.24,0.14,NOM
défiguré,0.57,0.81,ADJ
défigurement,0.01,0.00,NOM
défigurer,0.56,0.81,VER
défilé,7.45,12.30,NOM
défilement,0.01,0.61,NOM
défiler,4.32,11.28,VER
défini,0.04,0.14,NOM
défini,0.57,1.62,ADJ
définir,3.07,7.70,VER
définissable,0.00,0.14,ADJ
définitif,4.00,10.41,ADJ
définition,4.73,6.28,NOM
définitivement,9.34,23.51,ADV
déflagration,0.31,1.55,NOM
déflationniste,0.01,0.00,ADJ
déflecteur,0.02,0.07,NOM
déflecteur,0.04,0.00,ADJ
déflexion,0.09,0.00,NOM
défloraison,0.00,0.20,NOM
défloration,0.01,0.20,NOM
déflorer,0.12,0.14,VER
défoliant,0.01,0.00,NOM
défonce,0.64,0.95,NOM
défoncé,2.03,1.89,ADJ
défoncement,0.00,0.27,NOM
défoncer,5.22,2.84,VER
défonceuse,0.02,0.14,NOM
déforestation,0.04,0.00,NOM
déformant,0.04,0.27,ADJ
déformation,0.75,1.69,NOM
déformé,0.55,0.81,ADJ
déformer,0.62,1.15,VER
défoulement,0.06,0.27,NOM
défouler,1.66,0.27,VER
défouloir,0.15,0.00,NOM
défourailler,0.29,0.34,VER
défragmenteur,0.01,0.00,NOM
défraîchi,0.06,0.88,ADJ
défraîchir,0.00,0.20,VER
défraiement,0.05,0.00,NOM
défrayer,0.00,0.41,VER
défrichage,0.00,0.14,NOM
défrichement,0.00,0.41,NOM
défricher,0.10,0.74,VER
défrisage,0.01,0.00,NOM
défriser,0.05,0.27,VER
défroisser,0.01,0.34,VER
défroque,0.03,1.28,NOM
défroqué,0.04,0.00,NOM
défroqué,0.04,0.34,ADJ
défroquer,0.02,0.00,VER
défunt,2.87,2.30,ADJ
défunt,4.50,2.91,NOM
défunter,0.00,0.07,VER
dégagé,0.41,0.27,NOM
dégagé,0.76,4.39,ADJ
dégagement,0.44,0.54,NOM
dégager,8.22,15.20,VER
dégaine,1.43,3.11,NOM
dégainer,1.62,0.54,VER
dégarni,0.39,1.69,ADJ
dégarnir,0.02,0.14,VER
dégât,0.95,0.74,NOM
dégauchir,0.00,1.69,VER
dégauchisseuse,0.00,0.07,NOM
dégazage,0.03,0.00,NOM
dégazer,0.01,0.07,VER
dégel,0.47,3.31,NOM
dégelée,0.01,1.08,NOM
dégeler,0.38,0.34,VER
dégénératif,0.05,0.00,ADJ
dégénération,0.10,0.00,NOM
dégénéré,1.19,0.27,ADJ
dégénéré,1.36,0.41,NOM
dégénérer,0.86,0.61,VER
dégénérescence,1.22,1.08,NOM
dégingandé,0.02,1.55,ADJ
dégivrage,0.03,0.00,NOM
dégivrer,0.11,0.00,VER
déglacer,0.01,0.00,VER
déglingue,0.31,0.34,NOM
déglingué,0.27,1.22,ADJ
déglinguer,0.26,0.68,VER
déglutir,0.02,0.81,VER
déglutition,0.31,0.81,NOM
dégobillage,0.01,0.00,NOM
dégobiller,0.05,0.41,VER
dégoiser,0.02,0.61,VER
dégommage,0.01,0.14,NOM
dégommer,0.85,1.08,VER
dégonflage,0.01,0.07,NOM
dégonflard,0.01,0.27,NOM
dégonflé,0.32,0.54,ADJ
dégonflé,2.99,0.61,NOM
dégonflement,0.01,0.00,NOM
dégonfler,0.76,1.42,VER
dégorgement,0.00,0.14,NOM
dégorger,0.17,0.34,VER
dégoter,1.02,0.61,VER
dégotter,0.23,0.95,VER
dégoulinade,0.00,0.27,NOM
dégoulinant,0.05,1.35,ADJ
dégoulinement,0.01,0.00,NOM
dégouliner,0.08,0.88,VER
dégoupiller,0.01,0.14,VER
dégourdi,0.10,0.20,NOM
dégourdi,0.24,0.41,ADJ
dégourdir,1.40,2.43,VER
dégoût,5.99,27.97,NOM
dégoûtant,3.71,1.96,NOM
dégoûtant,11.47,3.92,ADJ
dégoûtation,0.00,0.34,NOM
dégoûté,0.16,1.08,NOM
dégoûté,0.29,3.51,ADJ
dégoûter,0.66,2.91,VER
dégouttant,0.03,0.14,ADJ
dégoutter,0.00,0.14,VER
dégradable,0.01,0.00,ADJ
dégradant,1.13,0.20,ADJ
dégradation,0.73,2.30,NOM
dégradé,0.04,0.47,NOM
dégradé,0.09,0.68,ADJ
dégrader,1.00,0.54,VER
dégrafer,0.32,0.95,VER
dégrafeur,0.01,0.00,NOM
dégraissage,0.07,0.00,NOM
dégraissant,0.01,0.00,NOM
dégraisser,0.19,0.07,VER
degré,7.93,16.55,NOM
dégréner,0.00,0.07,VER
dégrèvement,0.04,0.00,NOM
dégriffé,0.02,0.00,ADJ
dégriffer,0.03,0.00,VER
dégriffeur,0.00,0.27,NOM
dégringolade,0.13,1.82,NOM
dégringoler,0.38,2.97,VER
dégripper,0.00,0.07,VER
dégrisement,0.16,0.20,NOM
dégriser,0.06,0.07,VER
dégrossi,0.16,0.20,ADJ
dégrossir,0.01,0.34,VER
dégrossissage,0.01,0.07,NOM
dégrouiller,0.00,0.07,VER
déguenillé,0.01,0.07,ADJ
déguerpir,1.62,1.42,VER
dégueu,3.10,0.81,ADJ
dégueulando,0.00,0.20,NOM
dégueulasse,18.80,14.53,ADJ
dégueulassement,0.01,0.14,ADV
dégueulasser,0.04,0.34,VER
dégueulasserie,0.00,0.47,NOM
dégueuler,1.57,1.69,VER
dégueulis,0.31,1.15,NOM
déguisé,0.23,0.47,NOM
déguisé,1.93,1.22,ADJ
déguisement,3.93,3.65,NOM
déguiser,3.34,2.50,VER
dégustateur,0.02,0.14,NOM
dégustation,0.84,1.76,NOM
déguster,1.84,3.92,VER
déhaler,0.00,0.07,VER
déhanché,0.19,0.20,ADJ
déhanchement,0.04,1.08,NOM
déhancher,0.09,0.07,VER
déhiscence,0.02,0.14,NOM
dehors,17.57,37.64,NOM
dehors,180.79,109.05,ADV
déhotter,0.00,0.20,VER
déicide,0.00,0.07,ADJ
déification,0.00,0.07,NOM
déifier,0.00,0.14,VER
déisme,0.10,0.00,NOM
déité,0.02,0.00,NOM
déjanté,0.43,0.20,ADJ
déjanter,0.09,0.14,VER
déjection,0.00,0.27,NOM
déjeté,0.00,0.41,ADJ
déjeuner,19.99,17.03,VER
déjeuner,50.32,56.01,NOM
déjouer,1.80,2.36,VER
déjuger,0.02,0.00,VER
dékoulakisation,0.00,0.07,NOM
délabré,0.21,1.89,ADJ
délabrement,0.05,1.62,NOM
délabrer,0.03,0.07,VER
délacer,0.00,0.14,VER
délai,8.94,14.59,NOM
délaissé,0.02,0.14,NOM
délaissé,0.08,0.61,ADJ
délaissement,0.00,0.61,NOM
délaisser,0.28,1.01,VER
délassant,0.02,0.07,ADJ
délassement,0.16,0.47,NOM
délasser,0.04,0.54,VER
délateur,0.20,0.34,NOM
délation,0.26,1.28,NOM
délavé,0.23,2.36,ADJ
délaver,0.00,0.07,VER
délayage,0.01,0.20,NOM
délayé,0.00,0.07,ADJ
délayer,0.03,0.47,VER
delco,0.27,0.34,NOM
délectable,0.56,1.55,ADJ
délectation,0.07,3.24,NOM
délecter,0.21,0.47,VER
délégation,3.11,10.68,NOM
délégué,0.25,1.49,ADJ
délégué,1.83,7.09,NOM
déléguer,0.52,0.95,VER
délestage,0.02,0.14,NOM
délester,0.15,0.54,VER
délétère,0.00,0.68,ADJ
délibération,0.69,0.81,NOM
délibératoire,0.01,0.00,ADJ
délibéré,0.26,0.14,NOM
délibéré,0.52,1.35,ADJ
délibérément,3.11,5.47,ADV
délibérer,0.74,0.81,VER
délicat,0.83,1.55,NOM
délicat,9.60,13.72,ADJ
délicatement,1.48,10.34,ADV
délicatesse,3.34,11.96,NOM
délice,3.75,4.26,NOM
délicieusement,0.52,5.27,ADV
délicieux,20.62,15.07,ADJ
délictueux,0.03,0.07,ADJ
délié,0.00,0.47,ADJ
délié,0.01,0.41,NOM
délier,0.23,1.22,VER
délimitant,0.00,0.07,ADJ
délimitation,0.00,0.27,NOM
délimiter,0.07,0.41,VER
délinquance,1.54,1.35,NOM
délinquant,0.36,0.14,ADJ
délinquant,1.97,0.88,NOM
déliquescence,0.16,0.14,NOM
déliquescent,0.02,0.07,ADJ
délirant,1.36,1.28,ADJ
délire,10.93,16.62,NOM
délirer,1.94,2.23,VER
delirium,0.09,0.41,NOM
délit,11.35,6.35,NOM
délivrance,1.94,5.68,NOM
délivre,0.04,0.34,NOM
délivrer,4.76,7.91,VER
délocalisation,0.06,0.00,NOM
délocaliser,0.06,0.00,VER
déloger,1.17,1.89,VER
déloquer,0.04,0.54,VER
délourder,0.00,0.14,VER
déloyal,0.81,0.47,ADJ
déloyalement,0.02,0.14,ADV
déloyauté,0.26,0.27,NOM
delphinium,0.02,0.00,NOM
delta,6.50,1.82,NOM
deltaplane,0.26,0.00,NOM
deltoïde,0.01,0.00,ADJ
deltoïde,0.06,0.00,NOM
déluge,2.51,8.18,NOM
déluré,0.16,0.41,ADJ
délustrer,0.00,0.07,VER
démagnétiser,0.04,0.00,VER
démago,0.03,0.00,ADJ
démagogie,0.47,1.35,NOM
démagogique,0.14,0.34,ADJ
démagogue,0.16,0.20,NOM
démagogue,0.21,0.07,ADJ
démailler,0.00,0.07,VER
démailloter,0.00,0.20,VER
demain,0.14,0.00,ADJ
demain,50.40,21.42,NOM
demain,425.85,134.12,ADV
démancher,0.00,0.07,VER
demande,59.26,35.27,NOM
demander,188.86,144.66,VER
demandeur,0.20,0.14,NOM
démangeaison,0.39,1.08,NOM
démanger,0.13,0.07,VER
démantèlement,0.14,0.34,NOM
démanteler,0.68,0.34,VER
démantibuler,0.01,0.20,VER
démaquillage,0.01,0.14,NOM
démaquillant,0.00,0.07,ADJ
démaquillant,0.04,0.41,NOM
démaquiller,0.25,0.47,VER
démarcation,0.29,1.76,NOM
démarchage,0.06,0.07,NOM
démarche,3.96,25.07,NOM
démarcher,0.05,0.00,VER
démarcheur,0.02,0.74,NOM
démarier,0.01,0.00,VER
démarquer,0.13,0.20,VER
démarrage,1.17,3.11,NOM
démarrer,9.10,5.27,VER
démarreur,1.24,2.09,NOM
démasquage,0.01,0.00,NOM
démasquer,2.44,0.74,VER
démâter,0.01,0.00,VER
dématérialisation,0.01,0.00,NOM
dématérialiser,0.05,0.00,VER
démêlage,0.01,0.07,NOM
démêlant,0.06,0.00,ADJ
démêlant,0.29,0.00,NOM
démêler,0.84,3.38,VER
démêloir,0.00,0.07,NOM
démembrement,0.13,0.34,NOM
démembrer,0.28,0.20,VER
déménagement,2.66,5.27,NOM
déménager,11.14,4.12,VER
déménageur,0.63,1.28,NOM
démence,2.75,2.43,NOM
démener,0.32,1.01,VER
dément,1.29,1.01,NOM
dément,2.02,1.35,ADJ
démenti,0.05,0.34,ADJ
démenti,1.01,2.09,NOM
démentiel,0.46,0.61,ADJ
démentir,1.06,1.55,VER
démerdard,0.00,0.07,ADJ
démerdard,0.16,0.00,NOM
démerde,0.05,0.20,NOM
démerder,1.27,1.01,VER
démérite,0.04,0.14,NOM
démériter,0.00,0.07,VER
démesure,0.04,1.15,NOM
démesuré,0.41,3.18,ADJ
démesurément,0.09,4.19,ADV
démettre,0.20,0.41,VER
demeure,12.24,20.07,NOM
demeuré,0.48,0.88,ADJ
demeuré,2.06,1.28,NOM
demeurer,1.86,14.12,VER
démilitarisation,0.14,0.07,NOM
déminage,0.69,0.34,NOM
déminer,0.01,0.00,VER
démineur,0.17,0.07,NOM
démis,0.01,0.07,ADJ
démission,7.34,5.07,NOM
démissionnaire,0.04,0.27,ADJ
démissionnaire,0.14,0.00,NOM
démissionner,5.15,0.20,VER
démiurge,0.16,0.88,NOM
démobilisateur,0.00,0.14,ADJ
démobilisation,0.22,1.28,NOM
démobilisé,0.10,0.41,NOM
démobilisé,0.16,0.14,ADJ
démobiliser,0.03,0.14,VER
démocrate,1.34,0.34,NOM
démocrate,2.08,0.88,ADJ
démocratie,12.69,11.01,NOM
démocratique,4.97,4.12,ADJ
démocratiquement,0.18,0.27,ADV
démocratisation,0.01,0.14,NOM
démocratiser,0.01,0.07,VER
démodé,0.80,1.35,ADJ
démoder,0.00,0.07,VER
démodulateur,0.02,0.00,NOM
démographie,0.16,0.54,NOM
démographique,0.14,0.20,ADJ
démographiquement,0.00,0.07,ADV
démolir,8.02,3.65,VER
démolisseur,0.18,0.07,NOM
démolition,1.53,1.82,NOM
démon,39.71,13.58,NOM
démoniaque,4.22,1.69,ADJ
démoniaquement,0.00,0.07,ADV
démonique,0.04,0.00,ADJ
démonologie,0.16,0.00,NOM
démonomanie,0.01,0.00,NOM
démonstrateur,0.02,0.14,NOM
démonstratif,0.01,0.07,NOM
démonstratif,0.23,0.54,ADJ
démonstration,7.30,9.53,NOM
démonstrativement,0.01,0.34,ADV
démontable,0.25,0.47,ADJ
démontage,0.06,0.07,NOM
démonté,0.07,0.74,ADJ
démonter,3.44,3.11,VER
démontrable,0.03,0.00,ADJ
démontrer,3.23,5.61,VER
démoralisant,0.11,0.34,ADJ
démoralisateur,0.01,0.00,NOM
démoralisation,0.30,0.61,NOM
démoralisé,0.07,0.14,ADJ
démoraliser,0.34,0.47,VER
démordre,0.19,0.74,VER
démotique,0.00,0.14,ADJ
démotivation,0.01,0.00,NOM
démotiver,0.03,0.00,VER
démouler,0.03,0.00,VER
démultiplicateur,0.00,0.07,NOM
démultiplication,0.00,0.07,NOM
démultiplier,0.00,0.14,VER
démuni,0.05,0.74,NOM
démuni,0.18,1.55,ADJ
démunir,0.01,0.14,VER
démurger,0.00,0.20,VER
démuseler,0.00,0.07,VER
démystificateur,0.03,0.00,NOM
démystification,0.10,0.00,NOM
démystifier,0.04,0.07,VER
dénatalité,0.01,0.00,NOM
dénaturation,0.02,0.00,NOM
dénaturé,0.02,0.07,NOM
dénaturé,0.19,0.34,ADJ
dénaturer,0.14,0.54,VER
dénazification,0.03,0.00,NOM
dénazifier,0.01,0.00,VER
dendrite,0.01,0.00,NOM
dénégation,0.48,1.76,NOM
déneigement,0.01,0.00,NOM
déneiger,0.08,0.00,VER
dénervation,0.01,0.00,NOM
dengue,0.02,0.00,NOM
déniaisement,0.00,0.14,NOM
déniaiser,0.04,0.00,VER
dénicher,1.91,3.85,VER
dénicheur,0.44,0.14,NOM
denier,0.64,0.41,NOM
dénier,0.10,0.34,VER
dénigrant,0.01,0.00,ADJ
dénigrement,0.28,0.47,NOM
dénigrer,0.53,0.47,VER
denim,0.04,0.00,NOM
dénivelé,0.00,0.07,ADJ
dénivelé,0.01,0.00,NOM
dénivellation,0.02,0.74,NOM
dénombrement,0.00,0.41,NOM
dénombrer,0.05,0.95,VER
dénominateur,0.15,0.47,NOM
dénominatif,0.01,0.00,ADJ
dénomination,0.07,0.61,NOM
dénominer,0.00,0.07,VER
dénommé,0.48,0.81,ADJ
dénommé,2.67,1.49,NOM
dénommer,0.00,0.07,VER
dénoncer,9.83,6.08,VER
dénonciateur,0.08,0.68,NOM
dénonciation,0.69,1.49,NOM
dénoter,0.00,0.07,VER
dénouement,1.31,3.78,NOM
dénouer,0.62,1.96,VER
dénoyauter,0.00,0.14,VER
dénoyauteur,0.03,0.00,NOM
denrée,1.23,1.01,NOM
dense,1.69,9.86,ADJ
densimètre,0.01,0.00,NOM
densité,1.47,5.54,NOM
dentaire,0.01,0.00,NOM
dentaire,3.50,0.68,ADJ
dental,0.04,0.07,ADJ
denté,0.00,0.07,ADJ
dentelé,0.05,0.88,ADJ
dentelle,3.04,17.50,NOM
dentellière,0.00,2.36,NOM
dentelure,0.11,0.61,NOM
dentier,1.64,2.50,NOM
dentifrice,0.82,0.95,ADJ
dentifrice,3.84,1.15,NOM
dentiste,14.57,4.93,NOM
dentisterie,0.16,0.00,NOM
dentition,1.07,0.41,NOM
denture,0.07,1.96,NOM
dénudation,0.18,0.00,NOM
dénudé,0.36,1.69,ADJ
dénuder,0.08,1.01,VER
dénué,0.03,0.00,ADJ
dénuement,0.08,3.92,NOM
déodorant,0.24,0.00,ADJ
déodorant,0.85,0.41,NOM
déontologie,0.37,0.41,NOM
déontologique,0.03,0.00,ADJ
dépannage,1.17,1.01,NOM
dépanner,1.95,1.96,VER
dépanneur,0.57,0.41,NOM
dépareillé,0.01,0.14,ADJ
dépareiller,0.03,0.00,VER
déparer,0.01,0.27,VER
déparler,0.00,0.07,VER
départ,67.35,116.96,NOM
départager,0.85,0.61,VER
département,14.70,8.04,NOM
départemental,0.02,0.74,ADJ
départementale,0.26,1.15,NOM
départir,0.04,1.82,VER
dépassant,0.01,0.41,NOM
dépassé,1.26,1.96,ADJ
dépassement,0.49,0.41,NOM
dépasser,6.12,10.27,VER
dépatouiller,0.05,0.20,VER
dépaver,0.00,0.07,VER
dépaysant,0.15,0.07,ADJ
dépaysement,0.03,2.97,NOM
dépayser,0.04,0.27,VER
dépeçage,0.01,0.34,NOM
dépecer,0.47,0.68,VER
dépeceur,0.03,0.34,NOM
dépêche,7.71,2.57,NOM
dépêcher,7.52,3.65,VER
dépeindre,0.66,1.01,VER
dépeint,0.04,0.27,ADJ
dépenaillé,0.03,0.20,NOM
dépenaillé,0.05,0.41,ADJ
dépenaillement,0.00,0.07,NOM
dépénaliser,0.01,0.00,VER
dépendance,2.03,3.51,NOM
dépendant,0.56,0.34,ADJ
dépendeur,0.00,0.27,NOM
dépendre,2.46,2.84,VER
dépens,3.19,3.99,NOM
dépense,1.82,3.65,NOM
dépenser,8.77,5.14,VER
dépensier,0.01,0.00,NOM
dépensier,0.10,0.27,ADJ
déperdition,0.04,0.34,NOM
dépérir,0.41,0.74,VER
dépérissement,0.00,0.34,NOM
dépersonnalisation,0.02,0.00,NOM
dépersonnaliser,0.01,0.14,VER
dépêtrer,0.13,0.81,VER
dépeuplé,0.00,0.27,ADJ
dépeupler,0.02,0.27,VER
déphasage,0.16,0.00,NOM
déphasé,0.25,0.00,ADJ
dépiauter,0.06,0.74,VER
dépigmentation,0.01,0.07,NOM
dépilatoire,0.04,0.07,ADJ
dépiler,0.00,0.07,VER
dépiquage,0.00,0.20,NOM
dépiquer,0.00,0.07,VER
dépistage,0.75,0.34,NOM
dépister,0.14,0.54,VER
dépit,5.82,44.12,NOM
dépité,0.05,0.95,ADJ
dépiter,0.10,0.00,VER
déplacé,0.39,0.61,NOM
déplacé,1.61,1.42,ADJ
déplacement,3.38,6.15,NOM
déplacer,13.40,11.08,VER
déplaire,1.52,4.26,VER
déplaisant,1.81,2.50,ADJ
déplaisir,1.03,1.82,NOM
déplantoir,0.04,0.00,NOM
dépliable,0.00,0.07,ADJ
dépliant,0.01,0.20,ADJ
dépliant,0.36,1.15,NOM
dépliement,0.00,0.14,NOM
déplier,0.16,2.43,VER
déplisser,0.01,0.07,VER
déploiement,1.20,2.43,NOM
déplorable,1.29,3.99,ADJ
déplorablement,0.01,0.41,ADV
déploration,0.00,0.20,NOM
déplorer,0.17,1.49,VER
déployé,0.05,1.22,ADJ
déployer,1.81,6.01,VER
déplumé,0.16,1.15,ADJ
déplumer,0.02,0.07,VER
dépoiler,0.03,0.00,VER
dépoitraillé,0.02,0.27,ADJ
dépoli,0.01,1.15,ADJ
dépolluer,0.04,0.00,VER
dépollution,0.03,0.00,NOM
dépopulation,0.00,0.07,NOM
déport,0.00,0.14,NOM
déportation,1.52,2.03,NOM
déporté,0.03,0.14,ADJ
déporté,0.22,0.74,NOM
déporter,0.95,0.61,VER
déposant,0.00,0.07,ADJ
déposant,0.02,0.00,NOM
dépose,0.24,0.47,NOM
déposer,15.03,13.24,VER
dépositaire,0.23,1.96,NOM
déposition,9.66,1.82,NOM
déposséder,0.08,0.61,VER
dépossession,0.00,1.22,NOM
dépôt,11.90,8.58,NOM
dépoter,0.07,0.00,VER
dépotoir,1.22,1.82,NOM
dépoudrer,0.01,0.00,VER
dépouillage,0.01,0.00,NOM
dépouille,1.69,5.00,NOM
dépouillé,0.25,0.88,ADJ
dépouillement,0.17,2.50,NOM
dépouiller,2.07,5.14,VER
dépourvu,1.00,2.03,ADJ
dépoussiérage,0.01,0.07,NOM
dépoussiérer,0.45,0.14,VER
dépravation,0.56,0.61,NOM
dépravé,0.56,0.54,ADJ
dépravé,0.63,0.34,NOM
dépraver,0.06,0.00,VER
dépréciation,0.05,0.41,NOM
déprécier,0.15,0.61,VER
déprédateur,0.00,0.07,ADJ
déprédation,0.00,0.07,NOM
déprendre,0.00,0.74,VER
dépressif,0.41,0.00,NOM
dépressif,1.11,0.34,ADJ
dépression,10.10,7.36,NOM
dépressionnaire,0.03,0.07,ADJ
dépressurisation,0.36,0.14,NOM
dépressuriser,0.14,0.00,VER
déprimant,2.85,1.49,ADJ
déprime,1.81,1.89,NOM
déprimé,0.44,0.14,NOM
déprimé,1.89,0.68,ADJ
déprimer,1.05,0.54,VER
déprogrammation,0.07,0.00,NOM
déprogrammer,0.21,0.00,VER
dépucelage,0.41,0.34,NOM
dépuceler,0.55,0.34,VER
dépuceleur,0.01,0.00,NOM
depuis,147.19,114.05,ADV
depuis,483.95,542.64,PRE
députation,0.00,0.20,NOM
député,7.40,6.42,NOM
députer,0.01,0.00,VER
déqualifier,0.01,0.00,VER
déquiller,0.00,0.14,VER
déracinant,0.00,0.14,ADJ
déraciné,0.03,0.14,ADJ
déraciné,0.03,0.34,NOM
déracinement,0.11,0.54,NOM
déraciner,0.27,0.61,VER
déraillement,0.35,0.27,NOM
dérailler,1.25,1.15,VER
dérailleur,0.02,0.81,NOM
déraison,0.36,1.15,NOM
déraisonnable,1.15,2.30,ADJ
déraisonnablement,0.00,0.14,ADV
déraisonner,0.10,0.34,VER
dérangé,0.07,0.14,NOM
dérangé,2.09,1.42,ADJ
dérangeant,0.79,0.34,ADJ
dérangement,3.61,1.55,NOM
déranger,31.38,14.59,VER
dérapage,0.79,1.69,NOM
déraper,0.53,1.28,VER
dératé,0.20,0.74,NOM
dératisation,0.27,0.07,NOM
dératiser,0.17,0.00,VER
dérayer,0.01,0.00,VER
derby,0.36,0.14,NOM
derche,0.72,2.57,NOM
derechef,0.01,3.24,ADV
déréglage,0.01,0.00,NOM
déréglé,0.07,0.34,ADJ
dérèglement,0.35,1.01,NOM
déréglementation,0.06,0.00,NOM
dérégler,0.22,0.14,VER
dérégulation,0.04,0.00,NOM
déréguler,0.01,0.00,VER
déréliction,0.01,0.61,NOM
déresponsabilisation,0.00,0.07,NOM
dérider,0.19,1.49,VER
dérision,1.27,8.51,NOM
dérisoire,1.09,15.27,ADJ
dérisoirement,0.10,0.54,ADV
dérivant,0.01,0.07,ADJ
dérivatif,0.03,0.47,NOM
dérivation,0.55,0.68,NOM
dérive,2.77,6.55,NOM
dérivé,0.03,0.00,ADJ
dérivé,0.36,0.20,NOM
dériver,1.09,3.18,VER
dériveur,0.14,0.14,NOM
dermatite,0.08,0.00,NOM
dermatologie,0.23,0.00,NOM
dermatologique,0.32,0.54,ADJ
dermatologiste,0.07,0.00,NOM
dermatologue,0.38,0.00,NOM
dermatose,0.00,0.07,NOM
derme,0.52,0.41,NOM
dermeste,0.01,0.00,NOM
